,team1Player1,team1Player2,team1Player3,team1Player4,team1Player5,team1Player6,team1Player7,team1Player8,team1Player9,team1Player10,team1Player11,team1Player12,team1Player13,team1Player14,team1Player15,team1Player16,team1Player17,team1Player18,team1Golie1,team2Player1,team2Player2,team2Player3,team2Player4,team2Player5,team2Player6,team2Player7,team2Player8,team2Player9,team2Player10,team2Player11,team2Player12,team2Player13,team2Player14,team2Player15,team2Player16,team2Player17,team2Player18,team2Golie1,score
7767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7768,C. Atkinson,J. Boll,M. Calvert,G. Campbell,D. Clarkson,B. Dubinsky,N. Foligno,S. Hartnell,B. Jenner,W. Karlsson,B. Saad,A. Wennberg,C. Goloubef,S. Jones,R. Murray,D. Prout,D. Savard,F. Tyutin,J. Korpisalo,D. Brassard,T. Glass,K. Hayes,C. Kreider,O. Lindberg,J.T. Miller,D. Moore,E. Staal,V. Stalberg,D. Stepan,M. Zuccarello,D. Boyle,D. Girardi,K. Klein,R. McDonagh,D. McIlrath,M. Staal,K. Yandle,A. Raanta,1.0
7769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7770,J. Abdelkader,A. Athanasiou,P. Datsyuk,L. Glendening,D. Helm,T. Jurco,D. Larkin,G. Nyquist,B. Richards,R. Sheahan,T. Tatar,H. Zetterberg,D. DeKeyser,J. Ericsson,M. Green,N. Kronwall,A. Marchenko,K. Quincey,J. Howard,J. Benn,C. Eakin,R. Faksa,V. Fiddler,A. Hemsky,M. Janmark,V. Nichushkin,A. Roussel,C. Sceviour,T. Seguin,P. Sharp,J. Spezza,J. Benn,J. Demers,A. Goligoski,J. Klingberg,P. Nemeth,J. Oduya,A. Niemi,0.0
7771,B. Boyle,J.T. Brown,R. Callahan,V. Filppula,T. Johnson,A. Killorn,N. Kucherov,V. Namestnikov,O. Palat,C. Paquette,S. Stamkos,M. Carle,B. Coburn,J. Garrison,V. Hedman,N. Nesterov,A. Stralman,A. Sustr,A. Vasilevskiy,B. Boyes,M. Grabner,C. Greening,P. Holland,Z. Hyman,N. Kadri,K. Kapanen,L. Komarov,B. Laich,W. Nylander,B. Smith,N. Soshnikov,C. Carrick,F. Corrado,J. Gardiner,M. Hunwick,M. Marincin,M. Rielly,G. Sparks,0.0
7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7774,A. Cracknell,L. Draisaitl,J. Eberle,T. Hall,M. Hendricks,Z. Kassian,L. Korpikoski,A. Lander,M. Letestu,C. McDavid,I. Pakarinen,N. Yakupov,A. Clendening,B. Davidson,M. Fayne,D. Nurse,A. Pardy,A. Sekera,C. Talbot,D. Catenacci,N. Deslauriers,J. Eichel,M. Foligno,B. Gionta,Z. Girgensons,E. Kane,J. Larsson,D. Legwand,M. Moulson,C. O'Reilly,S. Reinhart,Z. Bogosian,C. Colaiacovo,J. Gorges,J. McCabe,M. Pysyk,R. Ristolainen,R. Lehner,0.0
7775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7777,J. Bailey,C. Cizikas,C. Clutterbuck,N. Kulemin,A. Lee,M. Martin,B. Nelson,F. Nielsen,K. Okposo,S. Prince,R. Strome,J. Tavares,J. Boychuk,T. Hamonic,T. Hickey,N. Leddy,R. Pulock,C. de Haan,T. Greiss,S. Baertschi,A. Burrows,D. Dorsett,E. Etem,M. Granlund,B. Horvat,J. McCann,D. Sedin,H. Sedin,L. Vey,J. Virtanen,M. Bartkowski,A. Biega,D. Hamhuis,B. Hutton,L. Sbisa,C. Tanev,Y. Weber,J. Markstrom,0.0
7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7780,J. Benn,C. Eakin,R. Faksa,V. Fiddler,A. Hemsky,M. Janmark,V. Nichushkin,A. Roussel,C. Sceviour,T. Seguin,P. Sharp,J. Spezza,J. Benn,J. Demers,A. Goligoski,J. Klingberg,J. Oduya,K. Russell,A. Niemi,V. Arvidsson,M. Fisher,F. Forsberg,P. Gaustad,C. Jarnkrok,R. Johansen,J. Neal,M. Ribeiro,M. Salomaki,C. Smith,A. Watson,C. Wilson,A. Bitetto,M. Ekholm,R. Ellis,P. Granberg,R. Josi,S. Weber,P. Rinne,1.0
7781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7782,B. Boyes,M. Grabner,C. Greening,P. Holland,Z. Hyman,N. Kadri,K. Kapanen,L. Komarov,B. Laich,W. Nylander,B. Smith,N. Soshnikov,C. Carrick,F. Corrado,J. Gardiner,M. Hunwick,M. Marincin,M. Rielly,J. Bernier,N. Backstrom,J. Beagle,A. Burakovsky,J. Chimera,M. Johansson,E. Kuznetsov,T.J. Oshie,A. Ovechkin,M. Richards,J. Williams,T. Wilson,D. Winnik,K. Alzner,T. Chorney,M. Niskanen,D. Orlov,B. Orpik,M. Weber,P. Grubauer,1.0
7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7784,A. Anisimov,A. Desjardins,T. Fleischmann,P. Kane,A. Ladd,B. Mashinter,A. Panarin,R. Panik,D. Rasmussen,A. Shaw,T. Teravainen,J. Toews,C. Ehrhoff,E. Gustafsson,N. Hjalmarsson,D. Keith,B. Seabrook,T. van Riemsdyk,C. Crawford,J. Abdelkader,A. Athanasiou,P. Datsyuk,L. Glendening,D. Helm,T. Jurco,D. Larkin,G. Nyquist,B. Richards,R. Sheahan,T. Tatar,H. Zetterberg,D. DeKeyser,J. Ericsson,M. Green,N. Kronwall,A. Marchenko,K. Quincey,P. Mrazek,0.0
7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7786,A. Cracknell,L. Draisaitl,J. Eberle,T. Hall,M. Hendricks,Z. Kassian,L. Korpikoski,A. Lander,M. Letestu,P. Maroon,C. McDavid,N. Yakupov,A. Clendening,B. Davidson,M. Fayne,D. Nurse,A. Pardy,A. Sekera,C. Talbot,P. Bellemare,N. Cousins,S. Couturier,S. Gagner,C. Giroux,S. Laughton,M. Raffl,M. Read,B. Schenn,W. Simmonds,C. VandeVelde,R. White,S. Gostisbehere,R. Gudas,A. MacDonald,E. Medvedev,N. Schultz,M. Streit,M. Neuvirth,0.0
7787,C. Coyle,J. Fontaine,M. Granlund,E. Haula,D. Jones,M. Koivu,N. Niederreiter,Z. Parise,J. Pominville,C. Porter,J. Stoll,T. Vanek,J. Brodin,M. Dumba,M. Reilly,M. Scandella,J. Spurgeon,R. Suter,D. Dubnyk,M. Grabner,C. Greening,P. Holland,Z. Hyman,N. Kadri,K. Kapanen,L. Komarov,B. Laich,B. Leipsic,W. Nylander,B. Smith,N. Soshnikov,C. Carrick,F. Corrado,J. Gardiner,M. Hunwick,M. Marincin,M. Rielly,G. Sparks,0.0
7788,J. Blandisi,R. Boucher,S. Gionta,A. Henrique,J. Josefson,S. Kalinin,T. Kennedy,K. Palmieri,T. Ruutu,D. Smith-Pelly,J. Tootoo,T. Zajac,A. Greene,A. Larsson,J. Merrill,J. Moore,D. Schlemko,D. Warsofsky,K. Kinkaid,V. Arvidsson,M. Fisher,F. Forsberg,P. Gaustad,C. Jarnkrok,R. Johansen,J. Neal,M. Ribeiro,M. Salomaki,C. Smith,A. Watson,C. Wilson,A. Bitetto,M. Ekholm,R. Ellis,P. Granberg,R. Josi,S. Weber,P. Rinne,0.0
7789,A. Barkov,N. Bjugstad,Q. Howden,J. Jagr,J. Jokinen,K. Rau,L. Shaw,R. Smith,S. Thornton,V. Trocheck,G. Wilson,B. Campbell,A. Ekblad,E. Gudbranson,S. Kampfer,J. Kindl,D. Kulikov,A. Petrovic,R. Luongo,M. Boedker,B. Comeau,M. Duchene,M. Grigorenko,J. Iginla,G. Landeskog,N. MacKinnon,S. Matthias,C. McLeod,J. Mitchell,J. Skille,C. Soderberg,T. Barrie,F. Beauchemin,C. Bigras,A. Bodnarchuk,N. Holden,E. Johnson,C. Pickard,1.0
7790,L. Couture,J. Donskoi,M. Haley,T. Hertl,P. Marleau,M. Nieto,J. Pavelski,N. Spaling,J. Thornton,C. Tierney,J. Ward,D. Zubrus,J. Braun,B. Burns,B. Dillon,P. Martin,R. Polak,M. Vlasic,M. Jones,S. Baertschi,A. Burrows,D. Dorsett,E. Etem,B. Gaunce,M. Granlund,B. Horvat,J. McCann,D. Sedin,H. Sedin,L. Vey,J. Virtanen,M. Bartkowski,A. Biega,D. Hamhuis,B. Hutton,L. Sbisa,C. Tanev,R. Miller,0.0
7791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7797,D. Brassard,J. Fast,T. Glass,K. Hayes,C. Kreider,O. Lindberg,J.T. Miller,D. Moore,E. Staal,V. Stalberg,D. Stepan,M. Zuccarello,D. Boyle,D. Girardi,K. Klein,R. McDonagh,M. Staal,K. Yandle,A. Raanta,N. Backstrom,J. Beagle,A. Burakovsky,J. Chimera,M. Johansson,E. Kuznetsov,T.J. Oshie,A. Ovechkin,M. Richards,J. Williams,T. Wilson,D. Winnik,K. Alzner,T. Chorney,M. Niskanen,D. Orlov,B. Orpik,M. Weber,B. Holtby,0.0
7798,J. Blandisi,R. Boucher,S. Gionta,A. Henrique,J. Josefson,S. Kalinin,T. Kennedy,K. Palmieri,T. Ruutu,D. Smith-Pelly,J. Tootoo,T. Zajac,A. Greene,A. Larsson,J. Merrill,J. Moore,D. Schlemko,D. Severson,K. Kinkaid,C. Schneider,J. Benn,C. Eakin,R. Faksa,V. Fiddler,A. Hemsky,M. Janmark,V. Nichushkin,B. Ritchie,A. Roussel,C. Sceviour,T. Seguin,J. Spezza,J. Demers,A. Goligoski,J. Klingberg,P. Nemeth,J. Oduya,K. Russell,1.0
7799,L. Draisaitl,J. Eberle,T. Hall,M. Hendricks,Z. Kassian,L. Korpikoski,A. Lander,M. Letestu,P. Maroon,C. McDavid,I. Pakarinen,N. Yakupov,B. Davidson,M. Fayne,N. Nikitin,D. Nurse,A. Pardy,A. Sekera,L. Brossoit,C. Atkinson,J. Boll,M. Calvert,G. Campbell,D. Clarkson,B. Dubinsky,N. Foligno,S. Hartnell,B. Jenner,W. Karlsson,B. Saad,A. Wennberg,C. Goloubef,S. Jones,R. Murray,D. Prout,D. Savard,F. Tyutin,J. Korpisalo,1.0
7800,R. Carter,C. Coyle,M. Granlund,E. Haula,D. Jones,M. Koivu,N. Niederreiter,Z. Parise,J. Pominville,J. Stoll,T. Vanek,J. Zucker,J. Brodin,M. Dumba,M. Reilly,M. Scandella,J. Spurgeon,R. Suter,D. Dubnyk,D. Catenacci,N. Deslauriers,J. Eichel,M. Foligno,B. Gionta,Z. Girgensons,E. Kane,J. Larsson,D. Legwand,M. Moulson,C. O'Reilly,S. Reinhart,Z. Bogosian,C. Colaiacovo,J. Gorges,J. McCabe,M. Pysyk,R. Ristolainen,R. Lehner,0.0
7801,V. Arvidsson,M. Fisher,F. Forsberg,P. Gaustad,C. Jarnkrok,R. Johansen,J. Neal,M. Ribeiro,M. Salomaki,C. Smith,A. Watson,C. Wilson,A. Bitetto,M. Ekholm,R. Ellis,P. Granberg,R. Josi,S. Weber,P. Rinne,M. Boedker,B. Comeau,M. Duchene,M. Grigorenko,J. Iginla,G. Landeskog,N. MacKinnon,S. Matthias,C. McLeod,J. Mitchell,J. Skille,C. Soderberg,T. Barrie,F. Beauchemin,C. Bigras,A. Bodnarchuk,N. Holden,E. Johnson,C. Pickard,0.0
7802,N. Backstrom,J. Beagle,A. Burakovsky,J. Chimera,M. Johansson,E. Kuznetsov,T.J. Oshie,A. Ovechkin,M. Richards,J. Williams,T. Wilson,D. Winnik,K. Alzner,T. Chorney,M. Niskanen,D. Orlov,B. Orpik,N. Schmidt,P. Grubauer,N. Acciari,M. Beleskey,P. Bergeron,B. Connolly,L. Eriksson,L. Ferraro,J. Hayes,D. Krejci,B. Marchand,D. Pastrnak,R. Spooner,L. Stempniak,Z. Chara,T. Krug,J. Liles,A. McQuaid,K. Miller,D. Seidenberg,T. Rask,0.0
7803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7805,S. Baertschi,A. Burrows,D. Dorsett,E. Etem,B. Gaunce,M. Granlund,B. Horvat,J. McCann,D. Sedin,H. Sedin,L. Vey,J. Virtanen,M. Bartkowski,A. Biega,D. Hamhuis,B. Hutton,L. Sbisa,C. Tanev,J. Markstrom,L. Couture,J. Donskoi,M. Haley,T. Hertl,P. Marleau,M. Nieto,J. Pavelski,N. Spaling,J. Thornton,C. Tierney,J. Ward,D. Zubrus,J. Braun,B. Burns,B. Dillon,P. Martin,R. Polak,M. Vlasic,J. Reimer,0.0
7806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7812,J. Bailey,C. Cizikas,C. Clutterbuck,N. Kulemin,A. Lee,M. Martin,B. Nelson,F. Nielsen,K. Okposo,S. Prince,R. Strome,J. Tavares,J. Boychuk,T. Hamonic,T. Hickey,N. Leddy,B. Strait,M. Zidlicky,J. Halak,D. Brassard,J. Fast,T. Glass,K. Hayes,C. Kreider,O. Lindberg,J.T. Miller,D. Moore,E. Staal,V. Stalberg,D. Stepan,M. Zuccarello,D. Boyle,D. Girardi,K. Klein,R. McDonagh,D. McIlrath,K. Yandle,A. Raanta,0.0
7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7818,N. Acciari,M. Beleskey,P. Bergeron,B. Connolly,L. Eriksson,L. Ferraro,J. Hayes,D. Krejci,B. Marchand,D. Pastrnak,R. Spooner,L. Stempniak,Z. Chara,T. Krug,J. Liles,A. McQuaid,D. Seidenberg,Z. Trotman,T. Rask,A. Barkov,N. Bjugstad,Q. Howden,J. Huberdeau,J. Hudler,J. Jagr,J. Jokinen,K. Rau,L. Shaw,R. Smith,S. Thornton,V. Trocheck,B. Campbell,A. Ekblad,E. Gudbranson,J. Kindl,D. Kulikov,A. Petrovic,R. Luongo,0.0
7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7820,S. Baertschi,A. Burrows,D. Dorsett,E. Etem,B. Gaunce,M. Granlund,B. Horvat,J. McCann,D. Sedin,L. Vey,J. Virtanen,R. Vrbata,M. Bartkowski,A. Biega,D. Hamhuis,B. Hutton,L. Sbisa,Y. Weber,R. Miller,D. Brown,J. Carter,K. Clifford,D. King,A. Kopitar,V. Lecavalier,T. Lewis,M. Lucic,T. Pearson,N. Shore,T. Toffoli,K. Versteeg,D. Doughty,A. Martinez,B. McNabb,J. Muzzin,L. Schenn,R. Scuderi,J. Quick,1.0
7821,D. Catenacci,N. Deslauriers,J. Eichel,M. Foligno,B. Gionta,Z. Girgensons,E. Kane,J. Larsson,D. Legwand,M. Moulson,C. O'Reilly,S. Reinhart,Z. Bogosian,C. Colaiacovo,J. Gorges,J. McCabe,M. Pysyk,R. Ristolainen,C. Johnson,B. Boyes,M. Grabner,C. Greening,P. Holland,Z. Hyman,N. Kadri,L. Komarov,B. Laich,M. Michalek,W. Nylander,B. Smith,N. Soshnikov,C. Carrick,F. Corrado,J. Gardiner,M. Hunwick,M. Marincin,M. Rielly,G. Sparks,0.0
7822,S. Doan,M. Domi,A. Duclair,B. Gordon,M. Hanzal,J. Martinook,S. Plotnikov,B. Richardson,T. Rieder,J. Sekac,A. Tanguay,A. Vermette,K. Connauton,K. Dahlbeck,O. Ekman-Larsson,N. Grossmann,C. Murphy,M. Stone,L. Domingue,M. Boedker,B. Comeau,M. Duchene,M. Grigorenko,J. Iginla,G. Landeskog,N. MacKinnon,S. Matthias,C. McLeod,J. Mitchell,J. Skille,C. Soderberg,T. Barrie,F. Beauchemin,E. Gelinas,N. Holden,E. Johnson,Z. Redmond,S. Varlamov,1.0
7823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7825,J. Abdelkader,A. Athanasiou,P. Datsyuk,L. Glendening,D. Helm,T. Jurco,D. Larkin,G. Nyquist,B. Richards,R. Sheahan,T. Tatar,H. Zetterberg,D. DeKeyser,J. Ericsson,M. Green,N. Kronwall,A. Marchenko,K. Quincey,J. Howard,C. Atkinson,J. Boll,R. Bourque,M. Calvert,G. Campbell,D. Clarkson,B. Dubinsky,N. Foligno,S. Hartnell,B. Jenner,W. Karlsson,A. Wennberg,C. Goloubef,S. Jones,R. Murray,D. Prout,D. Savard,F. Tyutin,J. Korpisalo,1.0
7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7831,L. Couture,J. Donskoi,T. Hertl,M. Karlsson,P. Marleau,M. Nieto,J. Pavelski,N. Spaling,J. Thornton,C. Tierney,J. Ward,D. Zubrus,J. Braun,B. Burns,B. Dillon,P. Martin,R. Polak,M. Vlasic,J. Reimer,A. Cracknell,L. Draisaitl,J. Eberle,T. Hall,M. Hendricks,Z. Kassian,L. Korpikoski,A. Lander,M. Letestu,P. Maroon,C. McDavid,N. Yakupov,A. Clendening,M. Fayne,D. Nurse,A. Pardy,G. Reinhart,A. Sekera,C. Talbot,0.0
7832,J. Bailey,C. Cizikas,C. Clutterbuck,N. Kulemin,A. Lee,M. Martin,B. Nelson,F. Nielsen,K. Okposo,S. Prince,R. Strome,J. Tavares,J. Boychuk,T. Hamonic,T. Hickey,N. Leddy,R. Pulock,B. Strait,T. Greiss,M. Grabner,C. Greening,P. Holland,Z. Hyman,N. Kadri,L. Komarov,B. Laich,M. Michalek,W. Nylander,P.A. Parenteau,B. Smith,N. Soshnikov,T.J. Brennan,C. Carrick,F. Corrado,J. Gardiner,M. Marincin,M. Rielly,G. Sparks,1.0
7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7834,S. Doan,M. Domi,A. Duclair,B. Gordon,M. Hanzal,J. Martinook,S. Plotnikov,B. Richardson,T. Rieder,A. Tanguay,V. Tikhonov,A. Vermette,K. Connauton,K. Dahlbeck,N. Grossmann,Z. Michalek,C. Murphy,M. Stone,L. Domingue,S. Baertschi,A. Burrows,D. Dorsett,E. Etem,B. Gaunce,M. Granlund,B. Horvat,J. McCann,D. Sedin,L. Vey,J. Virtanen,R. Vrbata,M. Bartkowski,A. Biega,D. Hamhuis,B. Hutton,L. Sbisa,Y. Weber,J. Markstrom,1.0
7835,A. Anisimov,A. Desjardins,T. Fleischmann,P. Kane,A. Ladd,B. Mashinter,A. Panarin,D. Rasmussen,A. Shaw,T. Teravainen,J. Toews,D. Weise,C. Ehrhoff,N. Hjalmarsson,D. Keith,M. Rozsival,B. Seabrook,T. van Riemsdyk,C. Crawford,D. Backes,P. Berglund,K. Brodziak,T. Brouwer,R. Fabbri,D. Jaskin,J. Lehtera,R. Reaves,J. Schwartz,P. Stastny,V. Tarasenko,S. Upshall,J. Bouwmeester,J. Edmundson,C. Gunnarsson,C. Parayko,A. Pietrangelo,K. Shattenkirk,J. Allen,1.0
7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7837,N. Backstrom,J. Beagle,A. Burakovsky,J. Chimera,M. Johansson,E. Kuznetsov,T.J. Oshie,A. Ovechkin,M. Richards,J. Williams,T. Wilson,D. Winnik,K. Alzner,T. Chorney,M. Niskanen,D. Orlov,B. Orpik,M. Weber,B. Holtby,D. Brown,J. Carter,K. Clifford,D. King,A. Kopitar,V. Lecavalier,T. Lewis,M. Lucic,T. Pearson,N. Shore,T. Toffoli,K. Versteeg,D. Doughty,A. Martinez,B. McNabb,J. Muzzin,L. Schenn,R. Scuderi,J. Quick,1.0
7838,P. Di Giuseppe,N. Gerbe,E. Lindholm,B. Malone,J. McClement,R. Nash,J. Nordstrom,V. Rask,J. Skinner,J. Staal,C. Terry,B. Woods,R. Hainsey,N. Hanifin,M. Jordan,R. Murphy,B. Pesce,J. Slavin,C. Ward,N. Acciari,M. Beleskey,P. Bergeron,B. Connolly,L. Eriksson,L. Ferraro,J. Hayes,D. Krejci,B. Marchand,D. Pastrnak,R. Spooner,L. Stempniak,Z. Chara,T. Krug,J. Liles,A. McQuaid,J. Morrow,D. Seidenberg,T. Rask,0.0
7839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7840,A. Cracknell,L. Draisaitl,J. Eberle,T. Hall,M. Hendricks,Z. Kassian,L. Korpikoski,M. Letestu,P. Maroon,C. McDavid,I. Pakarinen,N. Yakupov,A. Clendening,M. Fayne,J. Oesterle,A. Pardy,G. Reinhart,A. Sekera,C. Talbot,C. Coyle,J. Fontaine,M. Granlund,E. Haula,D. Jones,M. Koivu,N. Niederreiter,Z. Parise,C. Porter,J. Stoll,T. Vanek,J. Zucker,J. Brodin,M. Dumba,M. Reilly,M. Scandella,J. Spurgeon,R. Suter,D. Kuemper,0.0
7841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7842,A. Chiasson,R. Dzingel,S. Gomez,M. Hoffman,C. Lazar,C. Neil,J. Pageau,M. Puempel,B. Ryan,Z. Smith,M. Stone,M. Zibanejad,C. Ceci,E. Karlsson,M. Kostka,M. Methot,D. Phaneuf,P. Wiercioch,C. Anderson,A. Barkov,N. Bjugstad,J. Huberdeau,J. Hudler,J. Jagr,J. Jokinen,D. MacKenzie,L. Shaw,R. Smith,S. Thornton,V. Trocheck,G. Wilson,B. Campbell,A. Ekblad,E. Gudbranson,J. Kindl,D. Kulikov,A. Petrovic,R. Luongo,1.0
7843,J. Blandisi,R. Boucher,B. Farnham,S. Gionta,A. Henrique,S. Kalinin,T. Kennedy,K. Palmieri,M. Sislo,D. Smith-Pelly,J. Tootoo,T. Zajac,A. Greene,S. Helgeson,A. Larsson,J. Moore,D. Schlemko,D. Warsofsky,K. Kinkaid,L. Couture,J. Donskoi,T. Hertl,M. Karlsson,P. Marleau,M. Nieto,J. Pavelski,N. Spaling,J. Thornton,C. Tierney,J. Ward,D. Zubrus,J. Braun,B. Burns,B. Dillon,P. Martin,R. Polak,M. Vlasic,M. Jones,0.0
7844,N. Bonino,S. Crosby,M. Cullen,E. Fehr,C. Hagelin,P. Hornqvist,P. Kessel,T. Kuhnhackl,C. Kunitz,E. Malkin,B. Rust,S. Wilson,I. Cole,T. Daley,B. Dumoulin,K. Letang,O. Maatta,J. Schultz,M. Fleury,C. Atkinson,J. Boll,R. Bourque,M. Calvert,G. Campbell,D. Clarkson,B. Dubinsky,N. Foligno,S. Hartnell,B. Jenner,W. Karlsson,A. Wennberg,C. Goloubef,S. Jones,R. Murray,D. Prout,D. Savard,F. Tyutin,S. Bobrovsky,0.0
7845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7849,J. Bailey,C. Cizikas,C. Clutterbuck,N. Kulemin,A. Lee,M. Martin,B. Nelson,F. Nielsen,K. Okposo,S. Prince,R. Strome,J. Tavares,J. Boychuk,T. Hamonic,T. Hickey,N. Leddy,R. Pulock,B. Strait,T. Greiss,N. Acciari,M. Beleskey,P. Bergeron,B. Connolly,L. Eriksson,L. Ferraro,J. Hayes,D. Krejci,B. Marchand,D. Pastrnak,R. Spooner,L. Stempniak,Z. Chara,T. Krug,J. Liles,A. McQuaid,K. Miller,D. Seidenberg,T. Rask,1.0
7850,J. Fast,T. Glass,K. Hayes,C. Kreider,O. Lindberg,J.T. Miller,D. Moore,R. Nash,E. Staal,V. Stalberg,D. Stepan,M. Zuccarello,D. Boyle,D. Girardi,K. Klein,R. McDonagh,M. Staal,K. Yandle,H. Lundqvist,J. Abdelkader,A. Athanasiou,P. Datsyuk,L. Glendening,D. Helm,D. Larkin,G. Nyquist,T. Pulkkinen,B. Richards,R. Sheahan,T. Tatar,H. Zetterberg,D. DeKeyser,J. Ericsson,M. Green,N. Kronwall,K. Quincey,B. Smith,P. Mrazek,1.0
7851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7853,S. Doan,M. Domi,A. Duclair,B. Gordon,M. Hanzal,J. Martinook,S. Plotnikov,B. Richardson,T. Rieder,A. Tanguay,V. Tikhonov,A. Vermette,K. Connauton,K. Dahlbeck,N. Grossmann,Z. Michalek,C. Murphy,M. Stone,M. Smith,A. Cracknell,L. Draisaitl,J. Eberle,T. Hall,Z. Kassian,L. Korpikoski,M. Letestu,P. Maroon,C. McDavid,R. Nugent-Hopkins,I. Pakarinen,N. Yakupov,A. Clendening,M. Fayne,N. Nikitin,J. Oesterle,G. Reinhart,A. Sekera,C. Talbot,0.0
7854,J. Blandisi,R. Boucher,B. Farnham,S. Gionta,A. Henrique,S. Kalinin,T. Kennedy,K. Palmieri,T. Ruutu,M. Sislo,D. Smith-Pelly,T. Zajac,A. Greene,S. Helgeson,A. Larsson,J. Moore,D. Schlemko,D. Warsofsky,K. Kinkaid,D. Brown,J. Carter,K. Clifford,D. King,A. Kopitar,V. Lecavalier,T. Lewis,M. Lucic,T. Pearson,N. Shore,T. Toffoli,K. Versteeg,D. Doughty,A. Martinez,B. McNabb,J. Muzzin,L. Schenn,R. Scuderi,J. Quick,0.0
